iter	Passed	Remaining
0	3	307
1	5	276
2	8	270
3	11	265
4	13	256
5	16	255
6	18	250
7	21	246
8	24	245
9	26	241
10	29	237
11	31	233
12	34	228
13	36	224
14	38	220
15	41	218
16	43	213
17	45	207
18	47	203
19	49	199
20	51	193
21	53	189
22	55	185
23	57	181
24	59	178
25	61	175
26	63	172
27	65	169
28	67	165
29	70	163
30	72	161
31	74	158
32	76	155
33	78	153
34	81	150
35	83	148
36	85	146
37	87	143
38	89	140
39	91	137
40	93	135
41	96	132
42	98	131
43	101	128
44	103	126
45	106	124
46	108	122
47	110	119
48	112	117
49	114	114
50	116	112
51	118	109
52	120	107
53	122	104
54	124	101
55	126	99
56	128	97
57	131	95
58	133	92
59	136	90
60	138	88
61	140	86
62	143	84
63	145	82
64	148	79
65	151	78
66	154	76
67	157	73
68	160	71
69	162	69
70	165	67
71	167	65
72	169	62
73	172	60
74	175	58
75	177	56
76	180	53
77	182	51
78	184	49
79	187	46
80	189	44
81	191	42
82	193	39
83	194	37
84	196	34
85	199	32
86	201	30
87	204	27
88	206	25
89	208	23
90	210	20
91	213	18
92	215	16
93	217	13
94	219	11
95	221	9
96	224	6
97	226	4
98	228	2
99	231	0
